IFRS_MONTH,NAMA_PRODUK,Kontrak_Baru_Periode_Berjalan,Accretion_Interest_unwind,Efek_Perubahan_Varians_n_Asumsi_Ekonomi,Amortisasi_CSM_Release,Contractual Service Margin
2023-12-01,AJK,2601844.9676292744,1250867.8120581538,1963194.0028834925,-37539619.47532197,342777903.69517994
2024-01-01,AJK,3219933.3636791627,-210197.73384631114,2074632.132833142,-28268075.277816024,319594196.1800299
2024-02-01,AJK,6748449.366048188,-438068.83676141064,2212724.5843259115,-24216163.483404808,303901137.81023777
2024-03-01,AJK,20506627.79284823,-238278.23024590305,2001007.7324266455,-20714474.74545264,305456020.3598141
2023-12-01,AJK_RELIFE,0.0,0.0,0.0,0.0,0.0
2024-01-01,AJK_RELIFE,0.0,0.0,0.0,0.0,0.0
2024-02-01,AJK_RELIFE,0.0,0.0,0.0,0.0,0.0
2024-03-01,AJK_RELIFE,0.0,0.0,0.0,0.0,0.0
2023-12-01,RELIFE,26930121.187950894,-13614583.592740623,0.0,13614583.592740623,5.050973e-10
2024-01-01,RELIFE,0.0,0.0,0.0,-7.504504881431934e-13,5.043468495118568e-10
2024-02-01,RELIFE,0.0,0.0,0.0,-7.504504881426237e-13,5.035963990237142e-10
2024-03-01,RELIFE,0.0,0.0,0.0,-7.504504881420578e-13,5.028459485355721e-10
2023-12-01,RPUL,0.0,0.0,0.0,0.0,0.0
2024-01-01,RPUL,0.0,0.0,0.0,0.0,0.0
2024-02-01,RPUL,0.0,0.0,0.0,0.0,0.0
2024-03-01,RPUL,0.0,0.0,0.0,0.0,0.0
2023-12-01,SPUL,-51276865305.022125,583002677.4936309,-7340182733.152764,-1238136643.865031,35343210251.96653
2024-01-01,SPUL,2515373888.4092846,1288530783.9970798,15863601350.676043,-641262213.7852837,54369454061.26366
2024-02-01,SPUL,-8170649281.078116,433246036.3888653,-4431702645.782177,-498057834.32867897,41702290336.46355
2024-03-01,SPUL,1256660866.3999844,670471398.192392,6278927245.99178,-527500853.13532495,49380848993.91238
2024-01-01,SPUL_NEW,38181905.03841782,-353836.5931699257,-93081.43747569749,-1049044.8948789,36685942.1128933
2024-02-01,SPUL_NEW,212453380.05086917,1059603.581424668,375394.3708283079,-6362003.186586397,244212316.929429
2024-03-01,SPUL_NEW,494292575.4818889,5404702.177040426,-4680569.855909474,-18985522.139726974,720243502.5927218
2023-12-01,STAR PROTECTION SECURE PLAN,16718989.772415241,29219771.58038894,-29094295.64933431,-704550.3823838489,82066147.92390001
2024-01-01,STAR PROTECTION SECURE PLAN,10195043.907469371,31842128.3152817,-31666925.974808935,-791007.3069627191,91645386.86487943
2024-02-01,STAR PROTECTION SECURE PLAN,0.0,31512469.929109342,-31332764.500671923,-792557.1282665478,91032535.1650503
2024-03-01,STAR PROTECTION SECURE PLAN,4336988.754488912,32311800.516569994,-32112733.709453046,-830788.796592105,94737801.93006405
